Elspot Prices in DKK/MWh;;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2018;;;;;;;;;;;;;;;;;;
;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT
01.01.2017;00 - 01;191,05;178,64;178,64;178,64;178,64;178,64;155,82;155,82;211,13;211,13;211,13;178,64;178,64;178,64;178,64;178,64;178,64
01.01.2017;01 - 02;190,38;178,64;178,64;178,64;178,64;178,64;155,37;155,37;209,42;209,42;209,42;178,64;178,64;178,64;178,64;178,64;178,64
01.01.2017;02 - 03;189,49;178,56;178,56;178,56;178,56;178,56;134,78;134,78;208,38;208,38;208,38;178,56;178,56;178,56;178,56;178,56;178,56
01.01.2017;03 - 04;187,71;172,39;172,39;172,39;172,39;172,39;119,17;119,17;208,15;208,15;208,15;172,39;172,39;172,39;172,39;172,39;172,39
01.01.2017;04 - 05;190,53;179,16;179,16;179,16;179,16;179,16;122,14;122,14;208,3;208,3;208,3;179,16;179,16;179,16;179,16;179,16;179,16
01.01.2017;05 - 06;192,39;185,92;185,92;185,92;185,92;185,92;102,22;102,22;209,19;209,19;209,19;185,92;185,92;185,92;185,92;185,92;185,92
01.01.2017;06 - 07;197,6;190,46;190,46;190,46;190,46;190,46;82,52;82,52;210,46;210,46;210,46;190,46;190,46;190,46;190,46;190,46;190,46
01.01.2017;07 - 08;198,04;192,32;192,32;192,32;192,32;192,32;115;115;208,82;208,82;208,82;192,32;192,32;192,32;192,32;192,32;192,32
01.01.2017;08 - 09;198,49;194,62;194,62;194,62;194,62;194,62;125,49;125,49;206,14;206,14;206,14;194,62;194,62;194,62;194,62;194,62;194,62
01.01.2017;09 - 10;199,9;191,35;191,35;191,35;191,35;191,35;162,14;162,14;210,23;210,23;210,23;191,35;191,35;191,35;191,35;191,35;191,35
01.01.2017;10 - 11;206,67;199,9;199,9;199,9;199,9;199,9;195,07;195,07;210,83;210,83;210,83;199,9;199,9;199,9;199,9;199,9;199,9
01.01.2017;11 - 12;208,9;204,29;204,29;204,29;204,29;204,29;204,29;204,29;212,02;212,02;212,02;204,29;204,29;204,29;204,29;204,29;204,29
01.01.2017;12 - 13;210,83;208,45;208,45;208,45;208,45;208,45;208,45;208,45;211,94;211,94;211,94;208,45;208,45;208,45;208,45;208,45;208,45
01.01.2017;13 - 14;213,43;213,36;213,36;213,36;213,36;213,36;213,36;213,36;213,65;213,65;213,65;213,36;213,36;213,36;213,36;213,36;213,36
01.01.2017;14 - 15;220,42;220,49;220,49;220,49;220,49;220,49;220,49;220,49;220,49;220,49;220,49;220,49;220,49;220,49;220,49;220,49;220,49
01.01.2017;15 - 16;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84;225,84
01.01.2017;16 - 17;228,74;228,97;228,97;228,97;228,97;228,97;228,97;228,97;228,97;228,67;228,67;228,67;228,67;228,67;228,97;228,97;228,97
01.01.2017;17 - 18;229,86;229,93;229,93;229,93;229,93;229,93;229,93;229,93;229,93;229,93;229,93;229,93;229,93;229,93;229,93;229,93;229,93
01.01.2017;18 - 19;228,74;228,82;228,82;228,82;228,82;228,82;228,82;228,82;228,82;228,82;228,82;228,82;228,82;228,82;228,82;228,82;228,82
01.01.2017;19 - 20;226,74;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81
01.01.2017;20 - 21;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43;224,43
01.01.2017;21 - 22;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57;222,57
01.01.2017;22 - 23;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42;220,42
01.01.2017;23 - 00;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26;218,26
02.01.2017;00 - 01;218,71;218,56;218,56;218,56;218,56;218,56;218,56;218,56;218,56;218,56;218,56;218,56;218,56;218,56;218,56;218,56;218,56
02.01.2017;01 - 02;215,21;214,92;214,92;214,92;214,92;214,92;214,92;214,92;214,92;214,92;214,92;214,92;214,92;214,92;214,92;214,92;214,92
02.01.2017;02 - 03;209,79;208,97;208,97;208,97;208,97;208,97;208,97;208,97;208,97;208,97;208,97;208,97;208,97;208,97;208,97;208,97;208,97
02.01.2017;03 - 04;209,79;207,33;207,33;207,33;207,33;207,33;207,33;207,33;209,94;209,94;209,94;207,33;207,33;207,33;207,33;207,33;207,33
02.01.2017;04 - 05;214,99;210,08;210,08;210,08;210,08;210,08;206,14;210,08;215,81;215,81;215,81;210,08;210,08;210,08;210,08;210,08;210,08
02.01.2017;05 - 06;226,51;226,22;226,22;226,22;226,22;226,22;226,22;226,22;226,22;226,22;226,22;226,22;226,22;226,22;226,22;226,22;226,22
02.01.2017;06 - 07;238,56;244,21;244,21;244,21;244,21;244,21;244,21;244,21;244,21;231,87;231,87;233,95;233,95;233,95;244,21;244,21;244,21
02.01.2017;07 - 08;245,84;252,09;252,09;252,09;252,09;252,09;252,09;252,09;252,09;234,39;234,39;234,39;234,39;234,39;252,09;252,09;252,09
02.01.2017;08 - 09;252,16;259,22;259,22;259,22;259,22;259,22;259,22;259,22;259,22;236,85;236,85;237,81;237,81;237,81;259,22;259,22;259,22
02.01.2017;09 - 10;255,58;261,83;261,83;261,83;261,83;261,83;261,83;261,83;261,83;236,7;236,7;240,56;240,56;240,56;261,83;261,83;261,83
